,name,fruit_type,r,g,b,rgb(),width,height,width_heigth_proportion,computed_hex
1577,r_62_100.jpg,Banana,114,168,183,"rgb(114,168,183)",25,100,0.25,7514295
1664,r_55_100.jpg,Banana,114,169,184,"rgb(114,169,184)",30,102,0.29411764705882354,7514552
1660,r_27_100.jpg,Banana,109,162,178,"rgb(109,162,178)",31,102,0.30392156862745096,7185074
1625,r_26_100.jpg,Banana,109,161,178,"rgb(109,161,178)",31,102,0.30392156862745096,7184818
1908,r_64_100.jpg,Banana,113,166,181,"rgb(113,166,181)",31,101,0.3069306930693069,7448245
1877,r_65_100.jpg,Banana,113,166,181,"rgb(113,166,181)",31,101,0.3069306930693069,7448245
1816,r_53_100.jpg,Banana,113,169,184,"rgb(113,169,184)",32,102,0.3137254901960784,7449016
1731,r_322_100.jpg,Banana,109,158,175,"rgb(109,158,175)",32,102,0.3137254901960784,7184047
1788,r_58_100.jpg,Banana,112,167,183,"rgb(112,167,183)",32,102,0.3137254901960784,7382967
1921,r_20_100.jpg,Banana,111,159,176,"rgb(111,159,176)",33,102,0.3235294117647059,7315376
1511,r_324_100.jpg,Banana,110,160,177,"rgb(110,160,177)",34,103,0.3300970873786408,7250097
1734,r_22_100.jpg,Banana,111,160,177,"rgb(111,160,177)",34,103,0.3300970873786408,7315633
1865,r_17_100.jpg,Banana,109,156,173,"rgb(109,156,173)",34,102,0.3333333333333333,7183533
1811,r_323_100.jpg,Banana,110,160,176,"rgb(110,160,176)",34,102,0.3333333333333333,7250096
1825,r_21_100.jpg,Banana,111,160,176,"rgb(111,160,176)",34,102,0.3333333333333333,7315632
1790,r_83_100.jpg,Banana,110,156,170,"rgb(110,156,170)",34,101,0.33663366336633666,7249066
1568,r_312_100.jpg,Banana,108,152,169,"rgb(108,152,169)",35,103,0.33980582524271846,7116969
1692,r_318_100.jpg,Banana,109,156,173,"rgb(109,156,173)",35,103,0.33980582524271846,7183533
1582,r_9_100.jpg,Banana,107,151,167,"rgb(107,151,167)",35,103,0.33980582524271846,7051175
1659,r_311_100.jpg,Banana,106,151,168,"rgb(106,151,168)",35,103,0.33980582524271846,6985640
1480,r_13_100.jpg,Banana,108,154,171,"rgb(108,154,171)",35,103,0.33980582524271846,7117483
1760,r_315_100.jpg,Banana,108,154,171,"rgb(108,154,171)",35,103,0.33980582524271846,7117483
1907,r_74_100.jpg,Banana,111,161,176,"rgb(111,161,176)",35,102,0.3431372549019608,7315888
1529,r_84_100.jpg,Banana,110,156,170,"rgb(110,156,170)",35,101,0.3465346534653465,7249066
1732,r_314_100.jpg,Banana,108,154,170,"rgb(108,154,170)",36,103,0.34951456310679613,7117482
1473,r_313_100.jpg,Banana,109,154,170,"rgb(109,154,170)",36,103,0.34951456310679613,7183018
1677,r_8_100.jpg,Banana,107,151,167,"rgb(107,151,167)",36,103,0.34951456310679613,7051175
1836,r_7_100.jpg,Banana,107,151,167,"rgb(107,151,167)",36,103,0.34951456310679613,7051175
1676,r_11_100.jpg,Banana,109,154,170,"rgb(109,154,170)",36,103,0.34951456310679613,7183018
1578,r_10_100.jpg,Banana,108,153,169,"rgb(108,153,169)",36,103,0.34951456310679613,7117225
1810,r_77_100.jpg,Banana,109,159,173,"rgb(109,159,173)",36,102,0.35294117647058826,7184301
1878,r_75_100.jpg,Banana,109,160,174,"rgb(109,160,174)",36,102,0.35294117647058826,7184558
1717,r_76_100.jpg,Banana,110,160,174,"rgb(110,160,174)",36,102,0.35294117647058826,7250094
1741,r_4_100.jpg,Banana,107,149,165,"rgb(107,149,165)",37,103,0.3592233009708738,7050661
1922,r_306_100.jpg,Banana,106,149,165,"rgb(106,149,165)",37,103,0.3592233009708738,6985125
1824,r_307_100.jpg,Banana,107,150,166,"rgb(107,150,166)",37,103,0.3592233009708738,7050918
1889,r_80_100.jpg,Banana,111,159,172,"rgb(111,159,172)",37,102,0.3627450980392157,7315372
1715,r_82_100.jpg,Banana,110,157,171,"rgb(110,157,171)",37,102,0.3627450980392157,7249323
1452,r_78_100.jpg,Banana,111,160,174,"rgb(111,160,174)",37,102,0.3627450980392157,7315630
1699,r_87_100.jpg,Banana,110,154,167,"rgb(110,154,167)",37,101,0.36633663366336633,7248551
1546,r_79_100.jpg,Banana,112,160,173,"rgb(112,160,173)",37,101,0.36633663366336633,7381165
1923,r_89_100.jpg,Banana,111,153,167,"rgb(111,153,167)",37,101,0.36633663366336633,7313831
1820,r_88_100.jpg,Banana,109,153,167,"rgb(109,153,167)",37,101,0.36633663366336633,7182759
1639,r_1_100.jpg,Banana,105,147,163,"rgb(105,147,163)",38,103,0.36893203883495146,6919075
1567,r_302_100.jpg,Banana,106,147,163,"rgb(106,147,163)",38,103,0.36893203883495146,6984611
1599,r_309_100.jpg,Banana,106,150,166,"rgb(106,150,166)",38,103,0.36893203883495146,6985382
1612,r_0_100.jpg,Banana,105,147,162,"rgb(105,147,162)",38,103,0.36893203883495146,6919074
1770,r_5_100.jpg,Banana,107,150,166,"rgb(107,150,166)",38,103,0.36893203883495146,7050918
1627,r_310_100.jpg,Banana,106,150,167,"rgb(106,150,167)",38,103,0.36893203883495146,6985383
1673,r_180_100.jpg,Banana,109,163,180,"rgb(109,163,180)",38,102,0.37254901960784315,7185332
1740,r_178_100.jpg,Banana,109,163,180,"rgb(109,163,180)",38,102,0.37254901960784315,7185332
1733,r_304_100.jpg,Banana,106,148,164,"rgb(106,148,164)",39,104,0.375,6984868
1759,r_305_100.jpg,Banana,106,148,164,"rgb(106,148,164)",39,104,0.375,6984868
1939,r_6_100.jpg,Banana,107,150,166,"rgb(107,150,166)",39,104,0.375,7050918
1694,r_308_100.jpg,Banana,107,150,166,"rgb(107,150,166)",39,103,0.3786407766990291,7050918
1655,r_301_100.jpg,Banana,105,147,162,"rgb(105,147,162)",39,103,0.3786407766990291,6919074
1581,r_138_100.jpg,Banana,98,145,164,"rgb(98,145,164)",38,100,0.38,6459812
1455,r_140_100.jpg,Banana,97,145,164,"rgb(97,145,164)",38,100,0.38,6394276
1678,r_139_100.jpg,Banana,97,145,164,"rgb(97,145,164)",38,100,0.38,6394276
1843,r_91_100.jpg,Banana,109,152,165,"rgb(109,152,165)",38,100,0.38,7182501
1501,r_85_100.jpg,Banana,110,155,169,"rgb(110,155,169)",39,102,0.38235294117647056,7248809
1590,r_175_100.jpg,Banana,109,162,179,"rgb(109,162,179)",39,102,0.38235294117647056,7185075
1842,r_81_100.jpg,Banana,110,158,171,"rgb(110,158,171)",39,102,0.38235294117647056,7249579
1463,r_3_100.jpg,Banana,106,148,164,"rgb(106,148,164)",40,104,0.38461538461538464,6984868
1553,r_2_100.jpg,Banana,107,148,164,"rgb(107,148,164)",40,104,0.38461538461538464,7050404
1474,r_303_100.jpg,Banana,107,148,164,"rgb(107,148,164)",40,104,0.38461538461538464,7050404
